product,product_status,objective,priority,launch_date,days_since,status,units_30,goal_30,units_75,goal_75,target_actual,target_pods,pods_75,voids,avg_wk_gp,on_hand,inventory_dollars
Modelo Oro 24 pack 12oz Cans,Active,Launch Core,4 - Low,2024-02-19,910,Graduated,9,200,122,336,7,73,56,66,103,75,1297
Seagram's Escapes Jamaican Me Happiness VP 24 pack 12oz Cans,Active,Deplete - LTO,2 - High,2025-04-14,490,Graduated,0,312,0,312,0,0,2,0,0,310,4528
Ciderboys Winter Variety pack 2/12 pack 12oz Bottles,Active,Deplete - LTO,2 - High,2025-09-19,332,Graduated,12,60,34,60,8,33,13,25,36,22,459
Big Grove Citrus Surfer 1/2 Barrel Keg,Active,Launch Core,3 - Medium,2026-01-14,215,Graduated,2,2,3,4,1,24,3,23,19,1,117
Sparkling Ice Caff Root Beer 12/16oz,Active,Launch Core,2 - High,2026-02-02,196,Graduated,113,100,138,200,31,80,68,49,37,426,3700
Glacial Till Orange Dream 4/6 pack 12oz Cans,Active,Deplete - LTO,2 - High,2026-02-09,189,Graduated,113,100,182,175,51,87,90,36,200,54.25,1275
Bud Light 3/8 pack 16oz Cans,Active,Launch Core,1 - Urgent,2026-02-26,172,Graduated,0,15,14,44,6,83,17,77,9,3,64
Harp Lager 3/8 pack 14.9z AL CAN,Active,Deplete - LTO,2 - High,2026-03-02,168,Graduated,47,40,51,68,8,8,20,0,41,3,74
Budweiser 3/8 pack 16oz Cans,Active,Launch Core,1 - Urgent,2026-03-11,159,Graduated,0,63,3,63,2,77,8,75,2,39,804
Kros Strain Web of Lies 1/6 BBL,Active,Deplete - LTO,3 - Medium,2026-03-20,150,Graduated,4,8,5,8,5,6,6,1,26,2,167
Bud Light Posty Co. Pack 2/12 Pack 7.5oz Cans,Active,Deplete - LTO,3 - Medium,2026-04-02,137,Graduated,116,363,367,540,8,22,25,14,188,136,1960
Carbliss Lemon Iced Tea 6/4 pack 12oz Cans,Active,Deplete - LTO,3 - Medium,2026-04-03,136,Graduated,44,300,102,475,16,56,50,40,139,119,4254
Phorm Folds of Honor Cherry 12 Pack 16oz can,Active,Launch Core,3 - Medium,2026-04-21,118,Graduated,60,30,142,70,39,107,42,68,67,69.083333,1089
Barritt's Regular Ginger Beer 4/6 pack 12oz Cans,Active,Launch Core,4 - Low,2026-04-24,115,Graduated,21,10,21,30,10,53,24,43,29,348,5675
Barritt's Sugar Free Ginger Beer 4/6 pack 12oz Cans,Active,Launch Core,4 - Low,2026-04-24,115,Graduated,7,15,8,30,9,53,15,44,10,177,2943
Bum Energy Cream Soda 12 pack 12oz Cans,Active,Launch Core,1 - Urgent,2026-04-24,115,Graduated,35,75,167,185,46,96,62,50,92,104,1576
Sparkling Ice Lifesaver Variety 12/17oz,Active,Deplete - LTO,2 - High,2026-04-27,112,Graduated,599,125,835,275,22,48,32,26,264,695,6325
Busch Light 3/8 pack 16oz Cans,Active,Launch Core,1 - Urgent,2026-04-29,110,Graduated,34,47,117,100,6,102,57,96,70,51,973
Beatbox 3 Flavor Party Pack (wine) 2/6 pack 16.9z Tetra,Active,Launch Core,1 - Urgent,2026-05-06,103,Graduated,12,50,35,75,6,10,15,4,26,49,1256
BeatBox Blue Razzberry (wine) 12 pack 500ml TetraPaks,Active,Launch Core,1 - Urgent,2026-05-06,103,Graduated,134,200,324,400,99,294,188,195,261,363,8961
Beatbox Blueberry Lemonade (wine) 6/4 pack 16.9z Tetra,Active,Launch Core,1 - Urgent,2026-05-06,103,Graduated,15,15,15,15,3,5,13,2,20,2,97
BeatBox Cherry Limeade (wine) 12 pack 500ml TetraPaks,Active,Launch Core,1 - Urgent,2026-05-06,103,Graduated,30,75,78,150,49,186,74,137,67,378,9350
BeatBox Fresh Watermelon (wine) 12/16.9 Tetra Box,Active,Launch Core,1 - Urgent,2026-05-06,103,Graduated,9,75,17,150,10,254,15,244,15,131,3348
BeatBox Fruit Punch (wine) 12 pack 500ml TetraPaks,Active,Launch Core,1 - Urgent,2026-05-06,103,Graduated,101,200,238,400,83,292,157,209,192,386,9530
BeatBox Fruit Punch (wine) 6/4 pack 16.9z Tetra,Active,Launch Core,1 - Urgent,2026-05-06,103,Graduated,7,13,12,13,3,8,7,5,17,2,97
BeatBox Green Apple (wine) 12 pack 500ml TetraPaks,Active,Launch Core,1 - Urgent,2026-05-06,103,Graduated,36,75,98,150,52,280,77,228,82,229,5655
Beatbox Mystic Grape (wine) 12 pack 500ml TetraPaks,Active,Launch Core,1 - Urgent,2026-05-06,103,Graduated,18,75,61,150,34,168,45,134,45,19,487
Beatbox Orange Blast (wine) 12 pack 500ml TetraPaks,Active,Launch Core,1 - Urgent,2026-05-06,103,Graduated,34,75,96,250,54,274,76,220,76,286,7070
Beatbox Orange Blast (wine) 6/4 pack 16.9z Tetra,Active,Launch Core,1 - Urgent,2026-05-06,103,Graduated,4,8,6,16,3,7,6,4,9,6,306
BeatBox Pink Lemonade (wine) 12 pack 500ml TetraPaks,Active,Launch Core,1 - Urgent,2026-05-06,103,Graduated,59,200,246,400,73,283,143,210,190,322,7952
BeatBox Strawberry Kiwi (wine) 12/16.9 Tetra Box,Active,Launch Core,1 - Urgent,2026-05-06,103,Graduated,5,45,14,100,7,254,10,247,12,87,2227
Beatbox Sweet Heat Cinnamon (wine) 12/16.9 Tetra Box,Active,Launch Core,1 - Urgent,2026-05-06,103,Graduated,4,45,6,100,4,254,6,250,3,91,2318
BeatBox Tropical Punch (wine) 12/16.9 Tetra Box,Active,Launch Core,1 - Urgent,2026-05-06,103,Graduated,11,50,49,125,13,22,38,9,40,256,6446
C4 Performance Pink Lemonade 12/16oz,Active,Launch Core,3 - Medium,2026-05-08,101,Graduated,0,80,0,160,0,0,0,0,0,160,2999
Beatbox Blueberry Lemonade (wine) 12 pack 500ml TetraPaks,Active,Launch Core,1 - Urgent,2026-05-12,97,Graduated,59,75,85,150,31,280,83,249,70,62,1531
BeatBox Hard Tea (wine) 12/16.9 Tetra Box,Active,Launch Core,1 - Urgent,2026-05-12,97,Graduated,5,8,8,8,6,22,10,16,7,119,2938
BeatBox Juicy Mango (wine) 12/16.9 Tetra Box,Active,Launch Core,1 - Urgent,2026-05-12,97,Graduated,8,75,20,150,8,12,18,4,18,95,2313
Beatbox Watermelon Lemonade (wine) 12/16.9 Tetra Box,Active,Launch Core,1 - Urgent,2026-05-12,97,Graduated,7,50,29,125,5,19,16,14,21,85,2135
CiderBoys Peach County 4/6 pack 12oz Bottles,Active,Deplete - LTO,3 - Medium,2026-05-19,90,Graduated,3,40,24,60,5,25,10,20,24,34,760
